Price,Title,Location,Bedrooms,Bathrooms,Area,Link,Type,Rental Frequency,Furnished,Ownership,Near Sea
20000.0,للايجار شقة ٢٦٠ متر كومباوند انطونيادس انطونيادس سموحة محور المحمودية,"Valore Antoniades, Smoha•",3,3,260.0,https://www.dubizzle.com.eg/en/ad/%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1-%D8%B4%D9%82%D8%A9-%D9%A2%D9%A6%D9%A0-%D9%85%D8%AA%D8%B1-%D9%83%D9%88%D9%85%D8%A8%D8%A7%D9%88%D9%86%D8%AF-%D8%A7%D9%86%D8%B7%D9%88%D9%86%D9%8A%D8%A7%D8%AF%D8%B3-%D8%A7%D9%86%D8%B7%D9%88%D9%86%D9%8A%D8%A7%D8%AF%D8%B3-%D8%B3%D9%85%D9%88%D8%AD%D8%A9-%D9%85%D8%AD%D9%88%D8%B1-%D8%A7%D9%84%D9%85%D8%AD%D9%85%D9%88%D8%AF%D9%8A%D8%A9-ID204461101.html,Apartment,Monthly,No,Not specified,False
3000000.0,Apartment for sale 135 sqm - Sidi Bishr,Sidi Beshr,3,1,150.0,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-135-sqm-sidi-bishr-ID501828684.html,Apartment,Sale,No,Resale,False
15000.0,"Apartment for rent, new law, 165 m, Louran (steps from Abu Qir)",Laurent,3,2,165.0,https://www.dubizzle.com.eg/en/ad/apartment-for-rent-new-law-165-m-louran-steps-from-abu-qir-ID501943548.html,Apartment,Monthly,No,Not specified,False
7200000.0,شقة للبيع في قلب سموحة  220م مباني حديثة مرخصة,Smoha,3,3,220.0,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D9%82%D9%84%D8%A8-%D8%B3%D9%85%D9%88%D8%AD%D8%A9-220%D9%85-%D9%85%D8%A8%D8%A7%D9%86%D9%8A-%D8%AD%D8%AF%D9%8A%D8%AB%D8%A9-%D9%85%D8%B1%D8%AE%D8%B5%D8%A9-ID204449422.html,Apartment,Sale,No,Resale,False
2500.0,شقه فندقيه للايجار اليومي والآسبوعي ميامي بحر مباشر,Miami,3,2,150.0,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D9%87-%D9%81%D9%86%D8%AF%D9%82%D9%8A%D9%87-%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1-%D8%A7%D9%84%D9%8A%D9%88%D9%85%D9%8A-%D9%88%D8%A7%D9%84%D8%A2%D8%B3%D8%A8%D9%88%D8%B9%D9%8A-%D9%85%D9%8A%D8%A7%D9%85%D9%8A-%D8%A8%D8%AD%D8%B1-%D9%85%D8%A8%D8%A7%D8%B4%D8%B1-ID202075810.html,Hotel Apartment,Daily,Yes,Not specified,True
1300.0,شقه للايجار اليومي بالإسكندرية في المندره,Mandara,3,1,145.0,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D9%87-%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1-%D8%A7%D9%84%D9%8A%D9%88%D9%85%D9%8A-%D8%A8%D8%A7%D9%84%D8%A5%D8%B3%D9%83%D9%86%D8%AF%D8%B1%D9%8A%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D9%86%D8%AF%D8%B1%D9%87-ID501948694.html,Hotel Apartment,Daily,Not specified,Not specified,False
9000.0,"Apartment for rent, 70m, Tharwat (steps from Abu Qir Street)",Laurent,2,1,70.0,https://www.dubizzle.com.eg/en/ad/apartment-for-rent-70m-tharwat-steps-from-abu-qir-street-ID501955614.html,Apartment,Monthly,No,Not specified,False
12000.0,Furnished apartment for rent - Maamoura Al Shati - area 90 Full meters,Maamoura,2,1,90.0,https://www.dubizzle.com.eg/en/ad/furnished-apartment-for-rent-maamoura-al-shati-area-90-full-meters-ID501785045.html,Apartment,Monthly,Yes,Not specified,False
12000.0,Furnished Apartment for Rent 80m Ibrahimia (Steps from La Guite Street),Al Ibrahimiyyah,2,1,80.0,https://www.dubizzle.com.eg/en/ad/furnished-apartment-for-rent-80m-ibrahimia-steps-from-la-guite-street-ID501893367.html,Apartment,Monthly,Yes,Not specified,False
650000.0,الزهراء بجوار قريه شهرزاد الهانوفيل,"Al Hanouvel, Agami•",3,2,110.0,https://www.dubizzle.com.eg/en/ad/%D8%A7%D9%84%D8%B2%D9%87%D8%B1%D8%A7%D8%A1-%D8%A8%D8%AC%D9%88%D8%A7%D8%B1-%D9%82%D8%B1%D9%8A%D9%87-%D8%B4%D9%87%D8%B1%D8%B2%D8%A7%D8%AF-%D8%A7%D9%84%D9%87%D8%A7%D9%86%D9%88%D9%81%D9%8A%D9%84-ID204467424.html,Apartment,Sale,No,Resale,False
4900000.0,"Apartment for sale, 250m, Louran (directly Abu Qir Street)",Laurent,3,2,250.0,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-250m-louran-directly-abu-qir-street-ID501888125.html,Apartment,Sale,No,Resale,False
690000.0,شقه بسيدي بشر قبلي تشطيب سوبر لوكس,Sidi Beshr,2,1,65.0,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D9%87-%D8%A8%D8%B3%D9%8A%D8%AF%D9%8A-%D8%A8%D8%B4%D8%B1-%D9%82%D8%A8%D9%84%D9%8A-%D8%AA%D8%B4%D8%B7%D9%8A%D8%A8-%D8%B3%D9%88%D8%A8%D8%B1-%D9%84%D9%88%D9%83%D8%B3-ID203389937.html,Apartment,Sale,No,Resale,False
8240000.0,"At the best price in Sawari, a206 sqm apartment on the corner of 3 streets and the club",Moharam Bik,3,3,206.0,https://www.dubizzle.com.eg/en/ad/at-the-best-price-in-sawari-a206-sqm-apartment-on-the-corner-of-3-streets-and-the-club-ID501730974.html,Apartment,Sale,No,Primary,False
25000.0,Furnished apartment for rent 140m Laurent (directly on the tram),Laurent,3,2,140.0,https://www.dubizzle.com.eg/en/ad/furnished-apartment-for-rent-140m-laurent-directly-on-the-tram-ID501744579.html,Apartment,Monthly,Yes,Not specified,False
18000.0,للايجار شقة ١٧٠ متر سموحة شارع النقل والهندسة الغنيمى,Smoha,3,3,170.0,https://www.dubizzle.com.eg/en/ad/%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1-%D8%B4%D9%82%D8%A9-%D9%A1%D9%A7%D9%A0-%D9%85%D8%AA%D8%B1-%D8%B3%D9%85%D9%88%D8%AD%D8%A9-%D8%B4%D8%A7%D8%B1%D8%B9-%D8%A7%D9%84%D9%86%D9%82%D9%84-%D9%88%D8%A7%D9%84%D9%87%D9%86%D8%AF%D8%B3%D8%A9-%D8%A7%D9%84%D8%BA%D9%86%D9%8A%D9%85%D9%89-ID204461154.html,Apartment,Monthly,No,Not specified,False
16000.0,للايجار شقة ١٥٠ متر سموحة شارع ألبرت الاول منطقة الفيلات,Smoha,3,2,150.0,https://www.dubizzle.com.eg/en/ad/%D9%84%D9%84%D8%A7%D9%8A%D8%AC%D8%A7%D8%B1-%D8%B4%D9%82%D8%A9-%D9%A1%D9%A5%D9%A0-%D9%85%D8%AA%D8%B1-%D8%B3%D9%85%D9%88%D8%AD%D8%A9-%D8%B4%D8%A7%D8%B1%D8%B9-%D8%A3%D9%84%D8%A8%D8%B1%D8%AA-%D8%A7%D9%84%D8%A7%D9%88%D9%84-%D9%85%D9%86%D8%B7%D9%82%D8%A9-%D8%A7%D9%84%D9%81%D9%8A%D9%84%D8%A7%D8%AA-ID204461011.html,Apartment,Monthly,No,Not specified,False
4350000.0,شقة للبيع 144 م سبورتنج (خطوات من البحر),Sporting,3,2,144.0,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-144-%D9%85-%D8%B3%D8%A8%D9%88%D8%B1%D8%AA%D9%86%D8%AC-%D8%AE%D8%B7%D9%88%D8%A7%D8%AA-%D9%85%D9%86-%D8%A7%D9%84%D8%A8%D8%AD%D8%B1-ID501946879.html,Apartment,Sale,No,Resale,True
3200000.0,"Scale for sale, suitable for residential and administrative purposes - Cleopatra - area 135 full meters",Cleopatra,3,1,135.0,https://www.dubizzle.com.eg/en/ad/scale-for-sale-suitable-for-residential-and-administrative-purposes-cleopatra-area-135-full-meters-ID501784847.html,Apartment,Sale,No,Resale,False
1700.0,شقة مفروشة على كبري ستانلي مباشرة فيو بحر كما موضح بالصور مكيفة,Stanley,2,1,130.0,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D8%A9-%D9%85%D9%81%D8%B1%D9%88%D8%B4%D8%A9-%D8%B9%D9%84%D9%89-%D9%83%D8%A8%D8%B1%D9%8A-%D8%B3%D8%AA%D8%A7%D9%86%D9%84%D9%8A-%D9%85%D8%A8%D8%A7%D8%B4%D8%B1%D8%A9-%D9%81%D9%8A%D9%88-%D8%A8%D8%AD%D8%B1-%D9%83%D9%85%D8%A7-%D9%85%D9%88%D8%B6%D8%AD-%D8%A8%D8%A7%D9%84%D8%B5%D9%88%D8%B1-%D9%85%D9%83%D9%8A%D9%81%D8%A9-ID204425842.html,Apartment,Daily,Yes,Not specified,True
1000.0,شقة اول صف علي البحر غرفتين,Mandara,2,1,120.0,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D8%A9-%D8%A7%D9%88%D9%84-%D8%B5%D9%81-%D8%B9%D9%84%D9%8A-%D8%A7%D9%84%D8%A8%D8%AD%D8%B1-%D8%BA%D8%B1%D9%81%D8%AA%D9%8A%D9%86-ID201205112.html,Apartment,Daily,Yes,Not specified,True
1950000.0,Apartment for sale in Smouha 95m at the best price,Smoha,2,1,95.0,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-smouha-95m-at-the-best-price-ID501945980.html,Apartment,Sale,No,Primary,False
23000.0,شقة للإيجار في رشدي لجميع الأغراض,Roushdy,3,2,200.0,https://www.dubizzle.com.eg/en/ad/%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A5%D9%8A%D8%AC%D8%A7%D8%B1-%D9%81%D9%8A-%D8%B1%D8%B4%D8%AF%D9%8A-%D9%84%D8%AC%D9%85%D9%8A%D8%B9-%D8%A7%D9%84%D8%A3%D8%BA%D8%B1%D8%A7%D8%B6-ID204446975.html,Apartment,Yearly,No,Not specified,False
